Compared Group,Wedge Similarity,Wedge Orientation,Probability of Belonging,N Samples,Total Processed,Is Similar (adaptive),Hydrophobic Angle (°),Charge Angle (°),Specular Reflection,Clifford Distance,Commutator Norm,Anticommutator Sim,Metric Similarity,GP Functional Sim,GP Structural Diff,GP Combined Sim,GP F/S Ratio,GP Interpretation,GP Grade 0 (Functional),GP Grade 2 (Pairs),GP Grade 3 (Triples),GP Grade 4 (Quadruples),GP Full Interpretation,Hodge Complementarity,Grassmann Distance,General Rotation Angle (°),Grassmann Projection,Fubini-Study,Ricci Curvature,Wasserstein Distance,Fractal Dim Diff,Radon Similarity,Laplacian Distance,Entropy Diff,Jensen-Shannon,Gini Diff,Complexity Diff,Modularity Diff,Hellinger,Spearman,Morans I Diff
CPP,0.122954,-1.0,0.919199,100,100,False,9.97,15.57,False,1.33134,0.585355,0.810777,0.977543,0.977543,106771112.126785,106771112.126785,0.0,"Structurally similar, functionally different",0.082778,0.072113,0.190943,0.103519,Strong 3-body cooperativity (protein domains),0.190097,0.585355,35.83,0.585355,0.625318,1.918512,0.148,0.0,0.984864,5.363293,0.112975,0.13539,0.043931,0.011298,0.185527,0.315371,0.377583,0.180419
NILE1,0.067699,-1.0,0.5,1,1,False,31.78,16.39,False,1.730826,0.496284,0.86816,0.854646,0.854646,38171453.194031,38171453.194031,0.0,"Structurally similar, functionally different",0.097378,0.071705,0.197191,0.0703,Strong 3-body cooperativity (protein domains),0.14007,0.496284,29.75,0.496284,0.519313,3.060132,0.065924,0.130009,0.991473,13.908076,0.510758,0.079027,0.153984,0.159079,0.087683,0.257094,0.904778,0.049948
UNFOLDED,0.067483,1.0,0.953498,106,106,False,3.56,1.89,False,1.567804,0.349537,0.936923,0.942421,0.942421,82649142.976937,82649142.976937,0.0,"Structurally similar, functionally different",0.066549,0.034795,0.059335,0.019854,Balanced interactions across all orders,0.074799,0.349537,20.46,0.349537,0.357077,7.184905,0.079105,0.037602,0.997496,8.426841,0.335454,0.037101,0.16702,0.046706,0.044311,0.161035,0.852511,0.068742
NON_CPP,0.053071,-1.0,0.861618,71,71,False,12.03,13.64,False,0.976877,0.320057,0.947398,0.941929,0.941929,12596248.861759,12596248.861759,0.0,"Structurally similar, functionally different",0.081225,0.036757,0.096766,0.028419,Balanced interactions across all orders,0.117156,0.320057,18.67,0.320057,0.32579,8.762132,0.066751,0.0,0.999344,4.023587,0.091209,0.029826,0.050921,0.009121,0.093671,0.144467,0.840712,0.082276
PARTIALLY_FOLDED,0.048867,1.0,1.0,153,153,False,9.78,35.12,False,1.083256,0.24609,0.969247,0.967772,0.967772,1951708.891924,1951708.891924,0.0,"Structurally similar, functionally different",0.072035,0.026154,0.054517,0.021209,Balanced interactions across all orders,0.063106,0.24609,14.25,0.24609,0.248645,15.512407,0.030311,0.0,0.999021,4.834629,0.216632,0.0203,0.100472,0.021663,0.170612,0.119128,0.793514,0.009682
MACV,0.044321,1.0,0.0,3,3,False,10.86,8.14,False,0.46741,0.214716,0.976677,0.971617,0.971617,2802190.446512,2802190.446512,0.0,"Structurally similar, functionally different",0.076405,0.024008,0.0594,0.018285,Balanced interactions across all orders,0.061582,0.214716,12.4,0.214716,0.216401,20.690604,0.023663,0.0,0.999845,1.573237,0.104016,0.011549,0.039791,0.010402,0.08296,0.089602,0.935107,0.010532
REVIEWED_ALL,0.042516,1.0,0.998033,575503,575503,False,18.49,18.08,False,1.143013,0.276537,0.961003,0.952101,0.952101,16608391.239169,16608391.239169,0.0,"Structurally similar, functionally different",0.072615,0.03041,0.074023,0.022803,Balanced interactions across all orders,0.057894,0.276537,16.05,0.276537,0.280189,12.076578,0.030197,0.0,0.999387,5.855892,0.167657,0.015788,0.082858,0.016766,0.070217,0.104815,0.935107,0.036784
LUJO,0.042021,1.0,0.5,1,1,False,16.48,13.87,False,1.06018,0.265805,0.964027,0.954628,0.954628,38263740.285146,38263740.285146,0.0,"Structurally similar, functionally different",0.073115,0.029315,0.071586,0.021928,Balanced interactions across all orders,0.055049,0.265805,15.41,0.265805,0.269039,13.153797,0.032043,0.037602,0.999613,2.377048,0.146281,0.015363,0.060012,0.027789,0.083154,0.103399,0.909227,0.010559
UNREVIEWED_ALL,0.042018,1.0,0.998478,149234635,149234636,False,18.46,20.95,False,1.133193,0.269085,0.963116,0.953162,0.953162,14142705.313226,14142705.313226,0.0,"Structurally similar, functionally different",0.074581,0.030177,0.076555,0.023563,Balanced interactions across all orders,0.06088,0.269085,15.61,0.269085,0.272443,12.810845,0.027561,0.037602,0.999682,5.294283,0.132826,0.014038,0.066062,0.026443,0.062339,0.098809,0.926258,0.036167
MEMBRANE,0.040385,1.0,0.968797,165,165,False,17.37,21.68,False,1.254085,0.255245,0.966876,0.958699,0.958699,26640768.143335,26640768.143335,0.0,"Structurally similar, functionally different",0.074268,0.028671,0.072772,0.022843,Balanced interactions across all orders,0.053202,0.255245,14.79,0.255245,0.258101,14.349214,0.02562,0.0,0.999581,4.038443,0.124327,0.012268,0.05775,0.012433,0.062977,0.092369,0.938057,0.037803
