Rank,Protein ID,Group,Wedge Similarity,Header
1,PO00047,PARTIALLY_FOLDED,0.5537140121235621,sp|PO00047|
2,P82004,VIRUS_REVIEWED,0.5004685732022023,sp|P82004|V25K_WSSV 25 kDa structural polyprotein (Fragment) OS=White spot syndrome virus OX=92652 P
3,P0DV01,REVIEWED_ALL,0.4966267024762871,sp|P0DV01|NBRKB_SCODV Beta-scoliidine OS=Scolia decorata ventralis OX=2856346 PE=1 SV=1
4,P18110,REVIEWED_ALL,0.44910984792217346,sp|P18110|HTF1_ROMMI RO-1 OS=Romalea microptera OX=7007 PE=1 SV=2
5,PO00022,PARTIALLY_FOLDED,0.44748077148515547,sp|PO00022|
6,PO00119,PARTIALLY_FOLDED,0.43696802332269963,sp|PO00119|
7,A0A3B3ISG7,UNREVIEWED_HUMAN,0.43297833993806334,tr|A0A3B3ISG7|A0A3B3ISG7_HUMAN Histone deacetylase 8 (Fragment) OS=Homo sapiens OX=9606 GN=HDAC8 PE=
8,P03799,VIRUS_REVIEWED,0.4328626301799734,sp|P03799|Y63_BPT7 Protein 6.3 OS=Escherichia phage T7 OX=10760 GN=6.3 PE=4 SV=1
9,PO00148,PARTIALLY_FOLDED,0.43157267258839055,sp|PO00148|
10,PO00091,PARTIALLY_FOLDED,0.41889276844026296,sp|PO00091|
11,P0DOZ2,REVIEWED_ALL,0.40891903306492355,sp|P0DOZ2|CONGA_CONAV Conotoxin AusB OS=Conus australis OX=1519798 PE=1 SV=1
12,E9PQT6,UNREVIEWED_HUMAN,0.3991059292088694,"tr|E9PQT6|E9PQT6_HUMAN FOS like 1, AP-1 transcription factor subunit (Fragment) OS=Homo sapiens OX=9"
13,O10341,VIRUS_REVIEWED,0.3984977547078509,sp|O10341|Y091_NPVOP Uncharacterized 29.3 kDa protein OS=Orgyia pseudotsugata multicapsid polyhedros
14,P83320,REVIEWED_ALL,0.3943096091042165,sp|P83320|FAR5_PENMO FMRFamide-like neuropeptide FLP5 OS=Penaeus monodon OX=6687 PE=1 SV=1
15,Q19P16,VIRUS_UNREVIEWED,0.3940658703285508,tr|Q19P16|Q19P16_9GEMI AC4 (Fragment) OS=Mungbean yellow mosaic India virus OX=223287 PE=4 SV=1
16,A0A6L7H625,UNREVIEWED_ALL,0.39069047128523143,tr|A0A6L7H625|A0A6L7H625_BACAN AraC family transcriptional regulator OS=Bacillus anthracis OX=1392 G
17,A0A3S9UNX1,VIRUS_UNREVIEWED,0.381138931963728,tr|A0A3S9UNX1|A0A3S9UNX1_9CAUD Uncharacterized protein OS=Mycobacterium phage Zetzy OX=2499071 GN=64
18,PO00090,PARTIALLY_FOLDED,0.3795044128005502,sp|PO00090|
19,P68075,REVIEWED_ALL,0.37882686687769596,sp|P68075|GON2_CLUPA Gonadoliberin-2 OS=Clupea pallasii OX=30724 GN=gnrh2 PE=1 SV=1
20,P18243,VIRUS_REVIEWED,0.37614588425775136,sp|P18243|Y43_BPR18 Uncharacterized protein ORF43.1 in regA 3'region OS=Enterobacteria phage RB18 OX
